text,class,cleaned_text
ما سولتوهش الظهر شحال فيه من ركعة الله ينعل لي ما يحشم الصحافة ديال 4 د ريال .,1,ما سولتوهش الظهر شحال فيه من ركعة اله ينعل لي ما يحشم الصحافة ديال د ريال
عادي بحالها بحال مها هادي هي تربية البعد عن الدين تربية القنب قبحها الله وقبح امها ليمصضعنا بمداليتها الأولمبية اليتيمة,1,عادي بحالها بحال مها هادي هي تربية البعد عن الدين تربية القنب قبحها اله وقبح امها ليمصضعنا بمداليتها الأولمبية اليتيمة
شوف تیفی راہ واشفناھم فالاول ھاد الضحية دیالكم عاھرة شوفي بقا تقولي بحال ای مرا وراجلھا نخرج لیك من تیلفون عرفتي نتي عاھرة ھاد تصاور كيتسماو اغراء لواحد مزوج قاتلك مرتو باش كين شی بنت دارھم كتصور ھكا وسيري راہ مرتو عندھا الصح بینا بلا نتي عاھرة واحد كيدخل كیلقا مرتو لابسة بيجامة وبینوار ونتی داربا دوبیاس ھدا راہ اغراء شتی ھدا فساد وثبتیہ علي راسك واش معندكمش رجال فداركم,1,شوف تیفی راہ واشفناھم فالاول ھاد الضحية دیالكم عاھرة شوفي بقا تقولي بحال ای مرا وراجلھا نخرج لیك من تیلفون عرفتي نتي عاھرة ھاد تصاور كيتسماو اغراء لواحد مزوج قاتلك مرتو باش كين شی بنت دارھم كتصور ھكا وسيري راہ مرتو عندھا الصح بینا بلا نتي عاھرة واحد كيدخل كیلقا مرتو لابسة بيجامة وبینوار ونتی داربا دوبیاس ھدا راہ اغراء شتی ھدا فساد وثبتیہ علي راسك واش معندكمش رجال فداركم
جيت من عند شاطا ماطا,1,جيت من عند شاطا ماطا
الله يعطيك المسخ فقستيني قوم لوط يا ربي السلامة شوف ليك طبيب نفساني .,1,اله يعطيك المسخ فقستيني قوم لوط يا ربي السلامة شوف ليك طبيب نفساني
ألي عطا زكو لهلا يفكو,1,ألي عطا زكو لهلا يفكو
شوهو سمعة المغرب هاد صحابات روتيني اليومي فوقاش ينقارضو تفو على شقفة😪😒,1,شوهو سمعة المغرب هاد صحابات روتيني اليومي فوقاش ينقارضو تفو على شقفة وجه نائم وجه غير مستمتع
الله ينعل بو الفلوس تفو على حياة,1,اله ينعل بو الفلوس تفو على حياة
تفو عليكم شوف تيفي تستغلو هاد السيدة مسكينة باش تربحو على ضهرها الله يمسخكم عاونوها آ خوتي لمغاربة ووفرو ليها شا راها باغيا اختكم من الجزائر 🇩🇿🇩🇿,1,تفو عليكم شوف تيفي تستغلو هاد السيدة مسكينة باش تربحو على ضهرها اله يمسخكم عاونوها آ خوتي لمغاربة وفرو ليها شا راها باغيا اختكم من الجزائر علم الجزائر علم الجزائر
هيشة كتغني مشي بنادم,1,هيشة كتغني مشي بنادم
واش هادا فكاهي كيدضحك ناس. ألا كيضحكو عليه. حتى زوامل ولا فكاهة. الله  الطف بينا,1,واش هادا فكاهي كيدضحك ناس ألا كيضحكو عليه حتى زوامل ولا فكاهة اله الطف بينا
لي مقدم برنامج اكبرا قود  لله حرقك انشاء لله,1,لي مقدم برنامج اكبرا قود له حرقك انشاء له
العدالة والتنمية وشيشا,1,العدالة والتنمية وشيشا
مشاكل مقودة ههههه  صابونتي خخخخخخخخخ مونتاج مقود واصل 156 .جيد جدا,1,مشاكل مقودة ه صابونتي خ مونتاج مقود واصل جيد جدا
مغاؤبة منافقين دين يماهم دايرين راسهم فقهاء منين توما عاكا علاش كتر الفساد والتصاحيب سير شوف فراس درب كمتال علاش متعرفوش بالواقع,1,مغاؤبة منافقين دين يماهم دايرين راسهم فقهاء منين توما عاكا علاش كتر الفساد والتصاحيب سير شوف فراس درب كمتال علاش متعرفوش بالواقع
برافو  لي تصاحبات مع شي واحد تصور اللقطات الحميمية معاه باش متكوتش ضحية يالاه انتشرو يا بنات و هنيئا لكن بالفساد 👏👏👏👏👏,1,برافو لي تصاحبات مع شي واحد تصور القطات الحميمية معاه باش متكوتش ضحية يالاه انتشرو يا بنات و هنيئا لكن بالفساد التصفيق التصفيق التصفيق التصفيق التصفيق
فيه الانوتة كتر مني,1,فيه الانوتة كتر مني
خطهدا خاصو شي عزي ☻☻,1,خطهدا خاصو شي عزي
وا يأجوج و مأجور خروجو دغيييييا,1,وا يأجوج و مأجور خروجو دغيا
المشكل بسيط بنت فقيرة بغات توصل داغيك رغم معرفتها بزواج المحامي إستعجلت وتزوجت بالفاتحة وأنجبت ضاربة عرض الحائط مشاعر الزوجة الأولى المهم هي تكون فرحانة والزوجة الأولى لتذهب إلى الجحيم,1,المشكل بسيط بنت فقيرة بغات توصل داغيك رغم معرفتها بزواج المحامي إستعجلت وتزوجت بالفاتحة وأنجبت ضاربة عرض الحائط مشاعر الزوجة الأولى المهم هي تكون فرحانة والزوجة الأولى لتذهب إلى الجحيم
تفو على إمرة شكلها يخوف.  يمكن كتشرب وتكمي,1,تفو على إمرة شكلها يخوف يمكن كتشرب وتكمي
بعد نشر شوف خيخي لهذه الفضيحة انا درت ديزابوني لهذه القناة لي مغربي حر يدير ديزابوني ,1,بعد نشر شوف خيخي لهذه الفضيحة انا درت ديزابوني لهذه القناة لي مغربي حر يدير ديزابوني
صحافية ديال زبل  هي لي جبدتو وعارفة سيد معندوش لفرانات,1,صحافية ديال زبل هي لي جبدتو وعارفة سيد معندوش لفرانات
تفو تفو تفو على بنادم,1,تفو تفو تفو على بنادم
"أنا : الله ينعل...""",1,أنا اله ينعل
اختي بعدا صحب نقاب او الحجاب مغطيين في شوارع أفي كمرات سري الله يعفوا عليك,1,اختي بعدا صحب نقاب او الحجاب مغطين في شوارع أفي كمرات سري اله يعفوا عليك
كذاب هي ضحية كلب مسكينه,1,كذاب هي ضحية كلب مسكينه
هههه ضحكتني كيسخن الماء بالمناسبة الانثخابات قريبة غادين كثرو علينا السخانة والطبالة,1,ه ضحكتني كيسخن الماء بالمناسبة الانثخابات قريبة غادين كثرو علينا السخانة والطبالة
ها أنا خارجة باش مانزيدش نسبة المشاهدة للقناة .نتومى أكبر كذابة لا علاقة محتوى الفيديو بعنوان الفيديو!!!,1,ها أنا خارجة باش مانزيدش نسبة المشاهدة لقناة نتومى أكبر كذابة لا علاقة محتوى الفيديو بعنوان الفيديو
واش هاذ القناة مغربية لاٲظن 💩,1,واش هاذ القناة مغربية لاٲظن كومة من البراز
عيد ميلاديالها ولا ديالك ا شماة و شياطة ديال رجال سر الله يخد فيك الحق 🤲🤲🤲🤲🤲 و حت نت عندك تاتا فدار🤣🤣🤣🤣🤣,1,عيد ميلاديالها ولا ديالك ا شماة و شياطة ديال رجال سر اله يخد فيك الحق راحة اليد معا راحة اليد معا راحة اليد معا راحة اليد معا راحة اليد معا و حت نت عندك تاتا فدار يتدحرج على الارض من الضحك يتدحرج على الارض من الضحك يتدحرج على الارض من الضحك يتدحرج على الارض من الضحك يتدحرج على الارض من الضحك
شعب مكلخ تا جملة مفيدة والو,1,شعب مكلخ تا جملة مفيدة والو
تفو شحااال حامضة هاد سعيييدة...معرفت علاه كيجيبوها....و فين ميكون هاد لموسم ديال طنطان يجيبوها لينا.    يالطيف حد مكيحملهاوع التطرف,1,تفو شحال حامضة هاد سعيدة معرفت علاه كيجيبوها و فين ميكون هاد لموسم ديال طنطان يجيبوها لينا يالطيف حد مكيحملهاوع التطرف
راجل او نص روتني اليومي ف تقحبين,1,راجل او نص روتني اليومي ف تقحبين
لالا نتا بزاااف سالينا من إكشوان إكنوااان خرجلينا رابحه لحولة أبليلونتي من لفوووق ولكن راه هدشي طالع من هاد الصحافه تزبل لتتجبلينا هاد المصايب لكحله روبيني ههههههه مره قفل علم الله اش فيهم,1,لالا نتا بزاف سالينا من إكشوان إكنوان خرجلينا رابحه لحولة أبليلونتي من لفوق ولكن راه هدشي طالع من هاد الصحافه تزبل لتجبلينا هاد المصايب لكحله روبيني ه مره قفل علم اله اش فيهم
والله يهديك ختي اصلا نتي ممزوجاش بيه راه صراحة لفوت ديالك ختي وتستاهلي اش كيوقع ليك واش نتي ممزوجاش بيه لهكتي معاه لهاد شي كامل,1,واله يهديك ختي اصلا نتي مزوجاش بيه راه صراحة لفوت ديالك ختي وتستاهلي اش كيوقع ليك واش نتي مزوجاش بيه لهكتي معاه لهاد شي كامل
شوف خيخي خاص كلشي يخرج من عندك,1,شوف خيخي خاص كلشي يخرج من عندك
شحال خلصاتكم يا الصحافة الصفراء كاتشجعو روتيني اليومي فعوض ما المراة تستر راسها ودارها كاتشوه اسرتها,1,شحال خلصاتكم يا الصحافة الصفراء كاتشجعو روتيني اليومي فعوض ما المراة تستر راسها ودارها كاتشوه اسرتها
انت   كنت دايراها بسطاش  معاه ودبا كالسة كتبوحطي  وراه عندك الزهر لمحكموش عليك بالفساد  بالحق بركة عليك لفيك يكفيك,1,انت كنت دايراها بسطاش معاه ودبا كالسة كتبوحطي وراه عندك الزهر لمحكموش عليك بالفساد بالحق بركة عليك لفيك يكفيك
لايح هاد لخراا فيوتيب اكاتقارن راسك b 7liwa,1,لايح هاد لخرا فيوتيب اكاتقارن راسك
حراااااام عليكم تشوهو هاكم مسلمة حسبي الله ونعم الوكيل قناة شوف تيفي لنشر الرديلة والفضايح اتقو الله ليوم لا ريب فيه 😔😔,1,حرام عليكم تشوهو هاكم مسلمة حسبي اله ونعم الوكيل قناة شوف تيفي لنشر الرديلة والفضايح اتقو اله ليوم لا ريب فيه وجه متأمل وجه متأمل
كون غير خريتي و مدرتيش هادشي,1,كون غير خريتي و مدرتيش هادشي
الدنب ديالك غير قاليكم زيدو كادزيدو شوهتونا خاصكم غير تلاصقو فالرجاله مامحكوماتش,1,الدنب ديالك غير قاليكم زيدو كادزيدو شوهتونا خاصكم غير تلاصقو فالرجاله مامحكوماتش
وبالسيف ميتقبلوكش اخويا . انا بنت ومنديرش هاد الحالة,1,وبالسيف ميتقبلوكش اخويا انا بنت ومنديرش هاد الحالة
حتى هذ الخريا كيعطيو ناس الواقت,1,حتى هذ الخريا كيعطيو ناس الواقت
تفو كنسمع هاد المشحمة كتشدني التقيا,1,تفو كنسمع هاد المشحمة كتشدني التقيا
هذ الايكات نردوهم ديسلايك الخوت ديرو خدمتكم الواجب الوطني,1,هذ الايكات نردوهم ديسلايك الخوت ديرو خدمتكم الواجب الوطني
شراتها ليه الجزائر والشعب كيموت بالجوع,1,شراتها ليه الجزائر والشعب كيموت بالجوع
نت راكي زدتي فيه بزاف بسيف ميضربك ستري راسك شويا ديري خير فى لحمك راه كاينة الموت,1,نت راكي زدتي فيه بزاف بسيف ميضربك ستري راسك شويا ديري خير فى لحمك راه كاينة الموت
التقحبين طلع لينا فراسنا,1,التقحبين طلع لينا فراسنا
ولعداو فين وصلنا اشهاد الغيس و الوقاحه او تيق فراسو ياربي نتا ليقادر,1,ولعداو فين وصلنا اشهاد الغيس و الوقاحه او تيق فراسو ياربي نتا ليقادر
حسبي الله ونعم الوكيل عيب كبير سترو ماستر الله الله يجيبلك مرض الكونسار لي فضحها 😭😭😭,1,حسبي اله ونعم الوكيل عيب كبير سترو ماستر اله اله يجيبلك مرض الكونسار لي فضحها وجه يبكي بصوت عال وجه يبكي بصوت عال وجه يبكي بصوت عال
الله اكبر منكم ومما تقولون الله اكبر كبيرا منكم ومن مما تكنون وما تعلنون احترموا الاذان واخرسوا  يا حزب الشيطان,1,اله اكبر منكم وما تقولون اله اكبر كبيرا منكم ومن ما تكنون وما تعلنون احترموا الاذان واخرسوا يا حزب الشيطان
الله يعطيك أشوف تيفي الغراق,1,اله يعطيك أشوف تيفي الغراق
جابتو شوف تيفي بالكيلوط 😂3:04,1,جابتو شوف تيفي بالكيلوط وجه بدموع الفرح
وحدة لاحت اغنية المهم دعات لحلال وداكشي لسن الله ورسوله جاي واحد دعو لحرام بالعلالي والخرا وصباعو في قزيبتو شافهم مغريب كله الله يعطيك موصيبة تاتا تصاحب معاك وحدة حالتك يخ,1,وحدة لاحت اغنية المهم دعات لحلال وداكشي لسن اله ورسوله جاي واحد دعو لحرام بالعلالي والخرا وصباعو في قزيبتو شافهم مغريب كله اله يعطيك موصيبة تاتا تصاحب معاك وحدة حالتك يخ
شتو فين وصلنا . ها النتيجة. وشوف تيخي متبقايش تجيبي ليا هاذ الزبل رآه مرضتوني في عقلي انا كيبان ليا غادي نرجعو العصر الجاهلي  ملي وحدة عريانة و قالت يلي كتصلي. هههههه,1,شتو فين وصلنا ها النتيجة وشوف تيخي متبقايش تجيبي ليا هاذ الزبل رآه مرضتوني في عقلي انا كيبان ليا غادي نرجعو العصر الجاهلي ملي وحدة عريانة و قالت يلي كتصلي ه
ان مافيش نعلق ولكني  أحمق   بي دليل,1,ان مافيش نعلق ولكني أحمق بي دليل
دنيا كثموت على زوامل بحال ياربحى لحولى,1,دنيا كثموت على زوامل بحال ياربحى لحولى
تفو علا كمامر,1,تفو علا كمامر
ومن كنتي كدير روتنك مكنتش كتخافي من ربي لي كيشوفك وملاءكته ومخفتيش يجيك ملاك الموت ويدي روحك اش تقولي لي لي خالق ستفزتني مقدرتش منعودش نعلق هد تعليق ٢ اوووووف منك اووووففففلف,1,ومن كنتي كدير روتنك مكنتش كتخافي من ربي لي كيشوفك وملاءكته ومخفتيش يجيك ملاك الموت ويدي روحك اش تقولي لي لي خالق ستفزتني مقدرتش منعودش نعلق هد تعليق اوف منك اوفلف
شوفو تالخر كيدار 🤣🤣🤣 هو:💁‍♂️ انا: 🥴,1,شوفو تالخر كيدار يتدحرج على الارض من الضحك يتدحرج على الارض من الضحك يتدحرج على الارض من الضحك هو شخص يميل بيده علامة الذكور انا وجه مضطرب
كون رجل اسي محمد,1,كون رجل اسي محمد
يقلودون الاعداء غير في التفاهات ويعتقدون أنهم يحسنون صنعا تغيير المفاهيم أكبر فثنة ابتليت بها الأمة وهي تغيير المفاهيم الشر أصبح خير الدعارة حرية شخصية حسبنا الله ونعم الوكيل,1,يقلودون الاعداء غير في التفاهات ويعتقدون أنهم يحسنون صنعا تغير المفاهيم أكبر فثنة ابتليت بها الأمة وهي تغير المفاهيم الشر أصبح خير الدعارة حرية شخصية حسبنا اله ونعم الوكيل
واش انتما ماعند والدين امكم لا دين ولا ملة  رحرام هدا الشي الي كتعملو  راحنا وقيلة مسلمين واشوف لخرى,1,واش انتما ماعند والدين امكم لا دين ولا ملة رحرام هدا الشي الي كتعملو راحنا وقيلة مسلمين واشوف لخرى
"نادى حاسي و حريودة ما تخرجش ليهم سالمة 
فيها خير ملي تفارقتي معاهم",1,نادى حاسي و حريودة ما تخرجش ليهم سالمة فيها خير ملي تفارقتي معاهم
هضرتك كلها باينة فيك كذاب ومغيار واش نتا شغلك  كتدخل ليه فخصصيات ديال عند ديور والاغتصاب  تبع شوف تي في رما عندهم شغل غير شوهة تناس,1,هضرتك كلها باينة فيك كذاب ومغيار واش نتا شغلك كتدخل ليه فخصيات ديال عند ديور والاغتصاب تبع شوف تي في رما عندهم شغل غير شوهة تناس
كون كنتي بنت الاصل مديريش العلاقات الغير الشرعية السيبة هذي,1,كون كنتي بنت الاصل مديريش العلاقات الغير الشرعية السيبة هذي
الله اعطيكم الذل الرباعة ديال زو.... بقات ليكم غير الجلابة تشوهوها وتتحك فط.....ط  تفو على محتوى,1,اله اعطيكم الذل الرباعة ديال زو بقات ليكم غير الجلابة تشوهوها وتحك فط ط تفو على محتوى
نهار على كنزيد نكرهكم اشوف كاكا,1,نهار على كنزيد نكرهكم اشوف كاكا
كاين نوتيلا وكاين اللخرى,1,كاين نوتيلا وكاين الخرى
الله يعطيكم الغراق يهاد القناة ديال زبل وديرو  ليه المرموز لوجهو,1,اله يعطيكم الغراق يهاد القناة ديال زبل وديرو ليه المرموز لوجهو
لحم بالبرقوق من بعد الحلوى ديال عيد الميلاد الله ينزل عليه غضب الله .......,1,لحم بالبرقوق من بعد الحلوى ديال عيد الميلاد اله ينزل عليه غضب اله
انت مالك ومال الشقق يا المحساد يا المنافق كتقول لقيتيه كيخدم بي 3000درهم الله يمسخك في سنة 1992 خدم عندي 20000درهم مكنتيش امعاه,1,انت مالك ومال الشق يا المحساد يا المنافق كتقول لقيتيه كيخدم بي درهم اله يمسخك في سنة خدم عندي درهم مكنتيش امعاه
آلله انعل لمفيه غيرة على  اولاد و   ياك مسحرالك ابوركابي,1,آله انعل لمفيه غيرة على اولاد و ياك مسحرالك ابوركابي
من لخر  هو كذاب وهي طماعه ..صافي سالينا بجوج يستاهلو العقوبه,1,من لخر هو كذاب وهي طماعه صافي سالينا بجوج يستاهلو العقوبه
تفو تفو تفو على كمارة.اش هاد الويل.,1,تفو تفو تفو على كمارة اش هاد الويل
ههههه هي غلطه في كتابة حتى لكن أنت غلط في كل المضمون التي تقلل من احترامها فهي الزوجة الشرعية. والي كتحامي. عليها فهي العشيقه الفاهم وليست بالزوجة الثانية. ليس هناك. زواج بدون عقد.....سير ثقف رأسك قانونيا أو عيب وعار على قناتكم كتنشروا. الرذيلة فالمجتمع أو كتحرضو على هدم  المجتمع. الأسر وبالتالي المجتمع,1,ه هي غلطه في كتابة حتى لكن أنت غلط في كل المضمون التي تقل من احترامها فهي الزوجة الشرعية والي كتحامي عليها فهي العشيقه الفاهم وليست بالزوجة الثانية ليس هناك زواج بدون عقد سير ثقف رأسك قانونيا أو عيب وعار على قناتكم كتنشروا الرذيلة فالمجتمع أو كتحرضو على هدم المجتمع الأسر وبالتالي المجتمع
الله ينعل اللي ما يحشم,1,اله ينعل الي ما يحشم
نتوما ولاد لحرام لي تبغو تدو بنات الناس للدار ربي يخلصكم يجي نهاركم طيحو فمول لفول ما تنساوش بلي العجلة دور كاتشجعو الشباب على الحرام الفنانة اللي غنات هاد الغنية راقية كتشجع البنات باش يبعدو على ولاد الحرام والحرام أما نتو أبقاو تدو فالذنوب حتى بالغصرة وخايب الشي لي عملتوه  يا عرة الرجال,1,نتوما ولاد لحرام لي تبغو تدو بنات الناس لدار ربي يخلصكم يجي نهاركم طيحو فمول لفول ما تنساوش بلي العجلة دور كاتشجعو الشباب على الحرام الفنانة الي غنات هاد الغنية راقية كتشجع البنات باش يبعدو على ولاد الحرام والحرام أما نتو أبقاو تدو فالذنوب حتى بالغصرة وخايب الشي لي عملتوه يا عرة الرجال
باااااز على قصوحا دلوجه ديالك الله يهديك حاشا لله واش يبغبك تولي شيخه لا حولا ولا قوه الا بالله العلي العظيم,1,باز على قصوحا دلوجه ديالك اله يهديك حاشا له واش يبغبك تولي شيخه لا حولا ولا قوه الا باله العلي العظيم
غزا فيك حتى انتما مابغيتو لاتحشمو ياصحابات روتيني ديال العفن والمسخ,1,غزا فيك حتى انتما مابغيتو لاتحشمو ياصحابات روتيني ديال العفن والمسخ
صحافة الويل تفوووو,1,صحافة الويل تفو
غزا فيك الله ينعلها قعيدة تعلمتوا كتبارطاجي تلاجة ديالك .و شنو عنقولوا في العناوين لي كديري الله يمسخك صبا صبا,1,غزا فيك اله ينعلها قعيدة تعلمتوا كتبارطاجي تلاجة ديالك و شنو عنقولوا في العناوين لي كديري اله يمسخك صبا صبا
الله يخد فيهم الحق أشمن أم هدي هي ليخصها تشوف شنو دير مع دوك الكلاب ولكن مع الأسف قلبها كحل وممربياش الله يهدي الجميع,1,اله يخد فيهم الحق أشمن أم هدي هي ليخصها تشوف شنو دير مع دوك الكلاب ولكن مع الأسف قلبها كحل ومربياش اله يهدي الجميع
رجولة ديال الكارطو خلاو العيالات القدام وهما لور كون انا نسلخ ولديه,1,رجولة ديال الكارطو خلاو العيالات القدام وهما لور كون انا نسلخ ولديه
انت حرباء حولة 😂  لي خلاوها المصرين مشخصاتي لكنك التصقت بتشخيص دور المراة ولي ماتتخدمك لا انت  كشخص يطمح يولي ممثل ولا تخدم الحبكة ديال شي مسلسل ولا فيلم  ادن انت فكرشك العجينة راك مستفز صراحة. المعتقدين (المنتقدين ),1,انت حرباء حولة وجه بدموع الفرح لي خلاوها المصرين مشخصاتي لكنك التصقت بتشخيص دور المراة ولي ماتخدمك لا انت كشخص يطمح يولي مثل ولا تخدم الحبكة ديال شي مسلسل ولا فيلم ادن انت فكرشك العجينة راك مستفز صراحة المعتقدين المنتقدين
لا حولة ولا قوة إلا بالله العلي العظيم حسبي الله ونعم الوكيل والله إلى بقيتي فييا والام ديالك باينة فيها  ضالمة اما بالنسبة للأب ولد السوق,1,لا حولة ولا قوة إلا باله العلي العظيم حسبي اله ونعم الوكيل واله إلى بقيتي فيا والام ديالك باينة فيها ضالمة اما بالنسبة لأب ولد السوق
مهم.نتي.ماشي.ماشي.بنت.ناس.واش.ابات.معاك.ونتي.حملتي.وسيري.تحشمي.على.عراضك يموسخا. اش.من.داركم.شوف.تيفي.يخ.منك.كرهتينا.في.يوتوب,1,مهم نتي ماشي ماشي بنت ناس واش ابات معاك ونتي حملتي وسيري تحشمي على عراضك يموسخا اش من داركم شوف تيفي يخ منك كرهتينا في يوتوب
تفوا على ماركة وجه الحبس ياربي سلامة,1,تفوا على ماركة وجه الحبس ياربي سلامة
راك حامض و ممأدبش، ندمت حينت تفرجت,1,راك حامض و مأدبش ندمت حينت تفرجت
والله هاد شوف تيفي تبارك الله عليكم كتعجبوني في شي ناش ومزيان ملي ويتو تصويرتو هو ومرتو باش يتفضحو,1,واله هاد شوف تيفي تبارك اله عليكم كتعجبوني في شي ناش ومزيان ملي ويتو تصويرتو هو ومرتو باش يتفضحو
الشوهة زنديق كان اقلب على  الاولاد منين ولد رجع في كلامو باين عليه عقلو صغير بزاف  تفو فضاءحو كتيرة هادي غي لي باين علم الله كون راكاينة زوجة اخرى,1,الشوهة زنديق كان اقلب على الاولاد منين ولد رجع في كلامو باين عليه عقلو صغير بزاف تفو فضاءحو كتيرة هادي غي لي باين علم اله كون راكاينة زوجة اخرى
عمركم شتو زرغ صابغ عينيه زرقيين,1,عمركم شتو زرغ صابغ عينيه زرقين
مال السحت,1,مال السحت
رحمك الله ابو لحيا طيحتي الذل على الرجالة  غير سير قج راسك,1,رحمك اله ابو لحيا طيحتي الذل على الرجالة غير سير قج راسك
يخ علا يوتيوب ديال الزبل ما كايواخليو حتاو أحد,1,يخ علا يوتيوب ديال الزبل ما كايواخليو حتاو أحد
هل اليوتوب اصبح مرحاض المعوقين 😂😂😂,1,هل اليوتوب اصبح مرحاض المعوقين وجه بدموع الفرح وجه بدموع الفرح وجه بدموع الفرح
حتى طريقة الأجوبة ديالك ماشي مثقفة,1,حتى طريقة الأجوبة ديالك ماشي مثقفة
غير بنت المتوكل لي عندها لبزازل,1,غير بنت المتوكل لي عندها لبزازل
شافت فيا شفة فيها دوي ازبي,1,شافت فيا شفة فيها دوي ازبي
اودييييييييي المشكل في العقليه الخرااااويه لعندنا,1,اودي المشكل في العقليه الخراويه لعندنا
تقدر تكون كتكدب,1,تقدر تكون كتكدب
غا تخربيق هاد زمر تيفي طلعو شوية نيفو طحتو وبزاف,1,غا تخربيق هاد زمر تيفي طلعو شوية نيفو طحتو وبزاف
قصة غريبة راجل باغي يولي مراة والمرأة بغات تولي راجل فهم تسطى,1,قصة غريبة راجل باغي يولي مراة والمرأة بغات تولي راجل فهم تسطى
تفووو دعيناكوم الله,1,تفو دعيناكوم اله
مال هاد راس الخنونا خلعني صحاب ليا التليفون خسر . الله يعطيك العافية تشعل فيك....تفو.,1,مال هاد راس الخنونا خلعني صحاب ليا التليفون خسر اله يعطيك العافية تشعل فيك تفو
0:58 هاد النصيحة نتمنى دير بيها ختك و بنتك و حتا هي تمشي للبرتوش,1,هاد النصيحة نتمنى دير بيها ختك و بنتك و حتا هي تمشي لبرتوش
خنازتو المغرب سير الله امسخك تستهل أكثر الخنزا لعندو شي ترما خانزا,1,خنازتو المغرب سير اله امسخك تستهل أكثر الخنزا لعندو شي ترما خانزا
الله يعطيك الدل أستغفر الله العظيم,1,اله يعطيك الدل أستغفر اله العظيم
نتي متأكدة من قواك العقلية سيري شوفي طبيب نفساني وباراكا من الخيال .......,1,نتي متأكدة من قواك العقلية سيري شوفي طبيب نفساني وباراكا من الخيال
الناس كيمشيو للدول المتقدمة لطلب العلم والاحتكاك بالمجتمعات الراقية للاستفادة هادو ولاو تيمشيو هما تيعلموهم كيفاش ينحرفو الانحراف درجة 3 تفو كنس الجوع,1,الناس كيمشيو لدول المتقدمة لطلب العلم والاحتكاك بالمجتمعات الراقية لاستفادة هادو ولاو تيمشيو هما تيعلموهم كيفاش ينحرفو الانحراف درجة تفو كنس الجوع
وا مسح هاد لقلاوي ها لعار,1,وا مسح هاد لقلاوي ها لعار
شكرا بزاف على هذا الفيديو المفيد بسببكم استطعت اني افك لغز الجاذبية الكونية . و تمكنت انني نلاقي علاج لبعض الأمراض المستعصية .سيرو الله يعطيكم الذل يالحمارات البايخات .وانتم يا طاقم شوف تيفي الله يرد بيكم. لانكم شوهتو.,1,شكرا بزاف على هذا الفيديو المفيد بسبكم استطعت اني افك لغز الجاذبية الكونية و تمكنت اني نلاقي علاج لبعض الأمراض المستعصية سيرو اله يعطيكم الذل يالحمارات البايخات وانتم يا طاقم شوف تيفي اله يرد بيكم لانكم شوهتو
خوكم من الجزائر واش هادا شبعتونا تمنييك هههههههه,1,خوكم من الجزائر واش هادا شبعتونا تمنيك ه
تفو على مسخ ديرين بحال الى بيتين سكرانين😏😏,1,تفو على مسخ ديرين بحال الى بيتين سكرانين وجه مبتسم وجه مبتسم
قمة الفجور الوقاحة تنشر الصور ديالها عارية,1,قمة الفجور الوقاحة تنشر الصور ديالها عارية
البنت.باين ماتتكدبش الله ياخذ الحق فيهم,1,البنت باين ماتكدبش اله ياخذ الحق فيهم
بحالها بحال بنت عويطة الله يستر,1,بحالها بحال بنت عويطة اله يستر
قناة مقودة واعرة زيد كمل اتبي. ✌✌✌,1,قناة مقودة واعرة زيد كمل اتبي يد النصر يد النصر يد النصر
بجوج خاصهم السجن,1,بجوج خاصهم السجن
اشهاد.القلاوي.ليواقع.فالبلاد,1,اشهاد القلاوي ليواقع فالبلاد
الشوهة هادي  ما بقا ليه فين يزيد قالك الفقيه اللي كانتسناو بركته دخل للجامع ببلغته,1,الشوهة هادي ما بقا ليه فين يزيد قالك الفقيه الي كانتسناو بركته دخل لجامع بلغته
معرفتش هاد 200 و الصرف د البشر اللي دارو جيم من اينا كوكب هوما,1,معرفتش هاد و الصرف د البشر الي دارو جيم من اينا كوكب هوما
باز وحق الله على أنواع,1,باز وحق اله على أنواع
مرا مع راجلها كاين شي راجل كيبغي مراتو وكيخاف عليها يقوليها صيفطي ليا تصاورك عريانييين؟؟؟؟؟؟؟ اويلي وعدي  على الكبت وماداير 🤮,1,مرا مع راجلها كاين شي راجل كيبغي مراتو وكيخاف عليها يقوليها صيفطي ليا تصاورك عريانين اويلي وعدي على الكبت وماداير وجه يتقيأ
كرش من اللور ومن قدام,1,كرش من الور ومن قدام
شوف خيخي تفو على صحافة سيدة دابا را جمعات راسها و ربي را كيهدي,1,شوف خيخي تفو على صحافة سيدة دابا را جمعات راسها و ربي را كيهدي
قلبي ضرني علا بنيتة متستاهليش تكوني أم غادي تخرجي علا ديك بنت,1,قلبي ضرني علا بنيتة متستاهليش تكوني أم غادي تخرجي علا ديك بنت
ربما جمعت اكبر مشاهدين منةفيديوهاتها السابقة التي فقط كانت تظهر دبرها فيه بعد الذي تعرضت له.اللهم لا شماتة,1,ربما جمعت اكبر مشاهدين منةفيديوهاتها السابقة التي فقط كانت تظهر دبرها فيه بعد الذي تعرضت له الهم لا شماتة
هاذ العايلة يغبنوها هاك والله يا صاحب فيديو ربي يغبنك وينتقم منك ان شاء الله,1,هاذ العايلة يغبنوها هاك واله يا صاحب فيديو ربي يغبنك وينتقم منك ان شاء اله
علامات الساعة كرهتونا فالحياة الله ياخذ فيكوم الحق,1,علامات الساعة كرهتونا فالحياة اله ياخذ فيكوم الحق
